t,Date,mean_abs_beta,mean_diag_cov,mean_diag_P,min_cov_eig,min_P_eig
579,2023-09-13,0.14176452603061196,0.6312604719652497,0.0027771096567706984,0.08016656300748111,0.0008179213993644635
580,2023-09-14,0.14918514083828255,0.625699105334623,0.0028199360844979294,0.07643923346473201,0.000915654769733179
581,2023-09-18,0.15485821184566337,0.6127294404357976,0.002797811366199006,0.07519367893855514,0.0009305694870286761
582,2023-09-19,0.15106530218071515,0.6038233746976206,0.0027258736300208824,0.07325398918242583,0.0009600115791637097
583,2023-09-20,0.15142854830842672,0.6003209494062707,0.0027571507907403984,0.07662711679279462,0.0010357470268232316
584,2023-09-21,0.17667326688007784,0.644401129091253,0.0026534245731457667,0.07345855226942369,0.0010332578297664705
585,2023-09-25,0.17384993816622024,0.6368040355414825,0.002611771697126871,0.07008369310667341,0.0004985115638276127
586,2023-09-26,0.1861240961240084,0.6352557498052457,0.002630099224971104,0.06659383049403139,0.0005624579580834303
587,2023-09-27,0.19086472272094784,0.6330216960299943,0.002655965046201593,0.06930141696983892,0.0005113598216820071
588,2023-09-28,0.19536040154762513,0.6449045718924513,0.0026297808878398606,0.0664064066773925,0.0005077128684507099
589,2023-10-02,0.19473967487227523,0.8231007099451898,0.0025787518759495033,0.0633024386677966,0.0005037670459940015
590,2023-10-03,0.19861159430980938,0.8348193205611669,0.0025114926140568324,0.060819225156946516,0.00030748545355711236
591,2023-10-04,0.19474512304961253,0.8802673343536708,0.0025485534622458027,0.05787652986847152,0.00034707700463903893
592,2023-10-05,0.19071699758844152,0.9193863634019651,0.002527515689211119,0.058348661219501476,0.00043955240230392255
593,2023-10-10,0.19162749750964275,0.9105993241595021,0.002535380837522263,0.05543136242692111,0.0005290560496105069
594,2023-10-11,0.19274326326001584,0.8967318095132588,0.0024992686132680425,0.05450452746289897,0.0006332552063933797
595,2023-10-12,0.19708061000697338,0.9160611556496373,0.0025226510316066647,0.057153790407236074,0.000510004597541514
596,2023-10-16,0.20012704452510413,0.9781549724282633,0.0025052741086276017,0.06168543221168752,0.0004507822557226973
597,2023-10-17,0.1884912878349267,1.0025704456210272,0.0023559153312724796,0.06725888645019837,0.0004945813275584313
598,2023-10-18,0.1831353273164301,1.001234355297891,0.0024014440816314967,0.076375084476363,0.000517485104832379
599,2023-10-19,0.1948691327999577,0.994791278154135,0.002299687078811417,0.08778509597899797,0.0004641666968603979
600,2023-10-23,0.18279610115495892,1.0152653235482294,0.002313298211140689,0.10312566691250452,0.0003939146083466976
601,2023-10-24,0.18463080810911567,1.004010364732902,0.002319653786090107,0.1038545873367518,0.000443816326106083
602,2023-10-25,0.19642907280545185,0.9765674905425572,0.0023281254550563137,0.098676068988018,0.000481665866143058
603,2023-10-26,0.19146798103161647,0.9983209063659899,0.002400492097342652,0.11763245201862314,0.0003860992838221161
604,2023-10-30,0.18508735147999744,1.0360920691000652,0.002354836367376731,0.11480480945240046,0.000382398228135986
605,2023-10-31,0.1779757024339757,1.0227170256576121,0.0023858888364843797,0.10907079293128523,0.00046665896111107094
606,2023-11-01,0.18569352908850578,1.08512044060289,0.002424280241038532,0.12098275912782556,0.0005424073583756985
607,2023-11-02,0.19495594215426756,1.1269578445488675,0.0023329331821471695,0.12626758290485834,0.00042429215279051624
608,2023-11-06,0.20172553413914746,1.1120460919910475,0.0022693662966043458,0.12051814177423324,0.000386043424263978
609,2023-11-07,0.22134875397186923,1.1965897865191797,0.0021598953371803585,0.11638468596258189,0.00045964217316881535
