Date,Horizon,Response
2023-10-16,1,1.123189197807734
2023-10-16,2,0.035266890996705325
2023-10-16,3,-0.05204573259696693
2023-10-16,4,0.09410788102073364
2023-10-16,5,-0.2958238982286261
2023-10-16,6,-0.17962239963535143
2023-10-16,7,0.3824372019528257
2023-10-16,8,0.7743335814414505
2023-10-16,9,0.4503194458961256
2023-10-16,10,-0.07699888458138276
2023-10-16,11,0.0760835278308527
2023-10-16,12,-0.03159936802751384
2023-10-16,13,-0.2796965945633374
2023-10-16,14,0.19767445327144284
2023-10-16,15,-0.028494022845554134
2023-10-16,16,0.5699387096855864
2023-10-16,17,0.7561148729346323
2023-10-16,18,0.23879370916737785
2023-10-16,19,-0.29880091967884703
2023-10-16,20,0.021172450901743467
2023-10-17,0,0.16559429293485617
2023-10-17,1,-0.9223280138761725
2023-10-17,2,-1.0096406374698448
2023-10-17,3,-0.8634870238521442
2023-10-17,4,-1.2534188031015039
2023-10-17,5,-1.1372173045082292
2023-10-17,6,-0.5751577029200521
2023-10-17,7,-0.18326132343142731
2023-10-17,8,-0.5072754589767522
2023-10-17,9,-1.0345937894542605
2023-10-17,10,-0.8815113770420251
2023-10-17,11,-0.9891942729003916
2023-10-17,12,-1.2372914994362152
2023-10-17,13,-0.759920451601435
2023-10-17,14,-0.9860889277184319
2023-10-17,15,-0.38765619518729144
2023-10-17,16,-0.20148003193824549
2023-10-17,17,-0.7188011957054999
2023-10-17,18,-1.2563958245517248
2023-10-17,19,-0.9364224539711343
2023-10-17,20,-0.9794274396070316
2024-02-15,0,1.464115364461052
2024-02-15,1,0.8917577324814746
2024-02-15,2,-0.27085937256726833
2024-02-15,3,0.10859534520029979
2024-02-15,4,0.25766169516367887
2024-02-15,5,-0.340842522070118
2024-02-15,6,-0.35578146229428975
2024-02-15,7,-0.21302553590856416
2024-02-15,8,0.5958909117261889
2024-02-15,9,-0.15711504468767462
2024-02-15,10,-0.26033523021656957
2024-02-15,11,0.0016790987004500213
2024-02-15,12,-0.25601295096234844
2024-02-15,13,-0.03986428535509173
2024-02-15,14,0.17619238937447457
2024-02-15,15,-0.10471523091585844
2024-02-15,16,-0.16123616830096504
2024-02-15,17,-0.36951336335362617
2024-02-15,18,-0.21976476400665151
2024-02-15,19,-0.14421632158274472
2024-02-15,20,-0.3043334548001877
2024-04-10,0,1.2435078610401296
2024-04-10,1,0.6205595807825863
2024-04-10,2,0.36958833923501766
2024-04-10,3,0.6237418123800531
2024-04-10,4,0.5925458113395812
2024-04-10,5,0.17103167142382397
