t,TCI,diag_mean,offdiag_mean,diag_minus_offdiag,row_err,net_abs_mean
150,56.34349014214772,0.4365650985785228,0.06260387793571968,0.3739612206428031,3.3306690738754696e-16,0.09198979675641457
151,56.530391794026,0.4346960820597398,0.06281154643780666,0.37188453562193313,2.220446049250313e-16,0.08750497488863639
152,57.82436244709332,0.4217563755290669,0.06424929160788147,0.35750708392118546,2.220446049250313e-16,0.11998969444333156
153,56.88710085635079,0.4311289914364921,0.06320788984038976,0.3679211015961023,2.220446049250313e-16,0.10465440819929246
154,54.90456383419853,0.4509543616580148,0.06100507092688725,0.38994929073112755,3.3306690738754696e-16,0.08877149687551608
155,54.22232897299485,0.4577767102700515,0.0602470321922165,0.397529678077835,2.220446049250313e-16,0.08100717178133807
156,53.964679772416225,0.46035320227583776,0.059960755302684694,0.40039244697315307,2.220446049250313e-16,0.09220249653665422
157,53.96780793935354,0.4603219206064644,0.05996423104372616,0.4003576895627382,2.220446049250313e-16,0.13406314072956033
158,61.219872097521666,0.3878012790247834,0.0680220801083574,0.319779198916426,2.220446049250313e-16,0.18648201227071676
159,61.51349046566168,0.38486509534338303,0.06834832273962409,0.31651677260375893,3.3306690738754696e-16,0.16825694109203465
160,61.72227416889135,0.38277725831108633,0.0685803046321015,0.3141969536789848,2.220446049250313e-16,0.1581724528055528
161,63.336775532319066,0.36663224467680916,0.07037419503591007,0.2962580496408991,2.220446049250313e-16,0.17255870602703466
162,60.11821691437762,0.3988178308562237,0.06679801879375291,0.3320198120624708,2.220446049250313e-16,0.09309891572743122
163,60.91289163773692,0.3908710836226308,0.06768099070859658,0.3231900929140342,3.3306690738754696e-16,0.13538740130383836
164,60.76684186420345,0.3923315813579656,0.06751871318244827,0.3248128681755173,2.220446049250313e-16,0.15078767924258124
165,62.410216242758906,0.375897837572411,0.06934468471417657,0.3065531528582345,2.220446049250313e-16,0.17200344770599416
166,62.20532569997512,0.37794674300024866,0.06911702855552791,0.30882971444472074,3.3306690738754696e-16,0.17576677087989506
167,62.70764843977999,0.37292351560220016,0.06967516493308887,0.30324835066911127,2.220446049250313e-16,0.17992888518017858
168,61.9390989274961,0.38060901072503905,0.06882122103055122,0.31178778969448784,2.220446049250313e-16,0.16926394479386042
169,59.28953422873764,0.4071046577126234,0.06587726025415294,0.3412273974584704,2.220446049250313e-16,0.15667586935178582
170,61.05531179827677,0.38944688201723215,0.06783923533141864,0.32160764668581354,2.220446049250313e-16,0.1774426288624592
171,60.452603029396215,0.39547396970603776,0.06716955892155134,0.3283044107844864,4.440892098500626e-16,0.22422967582956393
172,56.73811430541541,0.43261885694584573,0.06304234922823934,0.3695765077176064,2.220446049250313e-16,0.14383210657513645
173,59.63619599546527,0.40363804004534715,0.06626243999496141,0.33737560005038575,2.220446049250313e-16,0.20758864061531357
