Date,Close,,,,,
2024-05-06,27.614,,,,,
2024-05-02,26.829,,,,,
2024-05-01,26.748,,,,,
2024-04-30,26.654,,,,,
2024-04-29,27.66,,,,,
2024-04-25,27.502,,,,,
2024-04-24,27.496,,,,,
2024-04-23,27.511,,,,,
2024-04-22,27.397,,,,,
2024-04-18,28.532,,,,,
2024-04-17,28.553,,,,,
2024-04-16,28.526,,,,,
2024-04-15,28.866,,,,,
2024-04-11,28.401,,,,,
2024-04-10,28.204,,,,,
2024-04-09,28.134,,,,,
2024-04-08,27.956,,,,,
2024-04-04,27.385,,,,,
2024-04-03,27.195,,,,,
2024-04-02,26.057,,,,,
2024-04-01,25.203,,,,,
2024-03-27,24.879,,,,,
2024-03-26,24.623,,,,,
2024-03-25,24.891,,,,,
2024-03-21,25.007,,,,,
2024-03-20,25.104,,,,,
2024-03-19,25.135,,,,,
2024-03-18,25.265,,,,,
2024-03-14,25.06,,,,,
2024-03-13,25.156,,,,,
2024-03-12,24.394,,,,,
2024-03-11,24.715,,,,,
2024-03-07,24.578,,,,,
2024-03-06,24.493,,,,,
2024-03-05,23.984,,,,,
2024-03-04,23.991,,,,,
2024-02-29,22.885,,,,,
2024-02-28,22.636,,,,,
2024-02-27,22.651,,,,,
2024-02-26,22.638,,,,,
2024-02-22,22.899,,,,,
2024-02-21,22.989,,,,,
2024-02-20,23.25,,,,,
2024-02-18,23.453,,,,,
2024-02-15,23.061,,,,,
2024-02-14,22.495,,,,,
2024-02-13,22.266,,,,,
2024-02-12,22.878,,,,,
2024-02-08,22.749,,,,,
2024-02-07,22.471,,,,,
2024-02-06,22.588,,,,,
2024-02-05,22.534,,,,,
2024-02-01,23.347,,,,,
2024-01-31,23.282,,,,,
2024-01-30,23.343,,,,,
2024-01-29,23.251,,,,,
2024-01-25,22.927,,,,,
2024-01-24,22.889,,,,,
2024-01-23,22.462,,,,,
2024-01-22,22.296,,,,,
2024-01-18,22.807,,,,,
2024-01-17,22.669,,,,,
2024-01-16,23.093,,,,,
2024-01-14,23.323,,,,,
2024-01-11,22.705,,,,,
2024-01-10,23.066,,,,,
2024-01-09,23.091,,,,,
2024-01-08,23.31,,,,,
2024-01-04,23.187,,,,,
2024-01-03,23.157,,,,,
2024-01-02,23.953,,,,,
2024-01-01,24.05,,,,,
2023-12-28,24.372,,,,,
2023-12-27,24.526,,,,,
2023-12-26,24.285,,,,,
2023-12-25,24.51,,,,,
2023-12-21,24.468,,,,,
2023-12-20,24.516,,,,,
2023-12-19,24.206,,,,,
2023-12-18,23.994,,,,,
2023-12-14,24.273,,,,,
2023-12-13,22.815,,,,,
2023-12-12,22.906,,,,,
2023-12-11,22.953,,,,,
2023-12-07,23.942,,,,,
2023-12-06,24.112,,,,,
2023-12-05,24.43,,,,,
2023-12-04,24.786,,,,,
2023-11-30,25.541,,,,,
2023-11-29,25.342,,,,,
2023-11-28,25.066,,,,,
2023-11-27,24.803,,,,,
2023-11-22,23.808,,,,,
2023-11-21,23.989,,,,,
2023-11-20,23.732,,,,,
2023-11-16,24.053,,,,,
2023-11-15,23.659,,,,,
2023-11-14,23.249,,,,,
2023-11-13,22.477,,,,,
2023-11-09,23.023,,,,,
2023-11-08,22.846,,,,,
2023-11-07,22.709,,,,,
2023-11-06,23.355,,,,,
2023-11-02,22.971,,,,,
2023-11-01,22.912,,,,,
2023-10-31,23.075,,,,,
2023-10-30,23.519,,,,,
2023-10-26,22.908,,,,,
2023-10-25,23.007,,,,,
2023-10-24,23.116,,,,,
2023-10-23,23.21,,,,,
2023-10-19,23.031,,,,,
2023-10-18,23.099,,,,,
2023-10-17,23.024,,,,,
2023-10-16,22.765,,,,,
2023-10-12,21.959,,,,,
2023-10-11,22.133,,,,,
2023-10-10,21.953,,,,,
2023-10-09,21.924,,,,,
2023-10-05,21.019,,,,,
2023-10-04,21.146,,,,,
2023-10-03,21.377,,,,,
2023-10-02,21.421,,,,,
2023-09-28,22.741,,,,,
2023-09-27,22.609,,,,,
2023-09-26,23.086,,,,,
2023-09-25,23.277,,,,,
2023-09-21,23.582,,,,,
2023-09-20,23.728,,,,,
2023-09-19,23.351,,,,,
2023-09-18,23.399,,,,,
2023-09-14,22.902,,,,,
2023-09-13,23.08,,,,,
2023-09-12,23.301,,,,,
2023-09-11,23.282,,,,,
2023-09-07,23.134,,,,,
2023-09-06,23.397,,,,,
2023-09-05,23.762,,,,,
2023-09-03,24.532,,,,,
2023-08-31,24.692,,,,,
2023-08-30,24.978,,,,,
2023-08-29,24.901,,,,,
2023-08-28,24.369,,,,,
2023-08-24,24.343,,,,,
2023-08-23,24.495,,,,,
2023-08-22,23.553,,,,,
2023-08-21,23.443,,,,,
2023-08-17,22.821,,,,,
2023-08-16,22.637,,,,,
2023-08-15,22.759,,,,,
2023-08-14,22.813,,,,,
2023-08-10,22.929,,,,,
2023-08-09,22.841,,,,,
2023-08-08,22.922,,,,,
2023-08-07,23.352,,,,,
2023-08-03,23.816,,,,,
2023-08-02,23.991,,,,,
2023-08-01,24.445,,,,,
2023-07-31,25.092,,,,,
2023-07-27,24.367,,,,,
2023-07-26,24.97,,,,,
2023-07-25,24.824,,,,,
2023-07-24,24.581,,,,,
2023-07-20,24.962,,,,,
2023-07-19,25.387,,,,,
2023-07-18,25.256,,,,,
2023-07-17,25.018,,,,,
2023-07-13,24.949,,,,,
2023-07-12,24.31,,,,,
2023-07-11,23.281,,,,,
2023-07-10,23.345,,,,,
2023-07-06,22.89,,,,,
2023-07-05,23.402,,,,,
2023-07-03,23.112,,,,,
2023-06-29,22.798,,,,,
2023-06-28,22.981,,,,,
2023-06-27,23.049,,,,,
2023-06-26,22.923,,,,,
2023-06-22,22.567,,,,,
2023-06-21,22.911,,,,,
2023-06-20,23.334,,,,,
2023-06-18,24.198,,,,,
2023-06-15,24.044,,,,,
2023-06-14,24.212,,,,,
2023-06-13,23.929,,,,,
2023-06-12,24.165,,,,,
2023-06-08,24.455,,,,,
2023-06-07,23.638,,,,,
2023-06-06,23.779,,,,,
2023-06-05,23.743,,,,,
2023-06-01,24.096,,,,,
2023-05-31,23.696,,,,,
2023-05-30,23.353,,,,,
2023-05-28,23.413,,,,,
2023-05-25,22.91,,,,,
2023-05-24,23.24,,,,,
2023-05-23,23.624,,,,,
2023-05-22,23.861,,,,,
2023-05-18,23.633,,,,,
2023-05-17,23.897,,,,,
2023-05-16,23.893,,,,,
2023-05-15,24.291,,,,,
2023-05-11,24.424,,,,,
2023-05-10,25.658,,,,,
2023-05-09,25.898,,,,,
2023-05-08,25.834,,,,,
2023-05-04,26.227,,,,,
2023-05-03,25.681,,,,,
2023-05-02,25.619,,,,,
2023-05-01,25.23,,,,,
2023-04-27,25.209,,,,,
2023-04-26,24.972,,,,,
2023-04-25,24.978,,,,,
2023-04-24,25.411,,,,,
2023-04-20,25.478,,,,,
2023-04-19,25.471,,,,,
2023-04-18,25.368,,,,,
2023-04-17,25.197,,,,,
2023-04-13,26.035,,,,,
2023-04-12,25.563,,,,,
2023-04-11,25.296,,,,,
2023-04-10,25.02,,,,,
2023-04-05,25.143,,,,,
2023-04-04,25.201,,,,,
2023-04-03,24.118,,,,,
2023-03-30,24.076,,,,,
2023-03-29,23.466,,,,,
2023-03-28,23.42,,,,,
2023-03-27,23.145,,,,,
2023-03-23,23.256,,,,,
2023-03-22,22.786,,,,,
2023-03-21,22.425,,,,,
2023-03-20,22.646,,,,,
2023-03-16,21.692,,,,,
2023-03-15,21.882,,,,,
2023-03-14,22.04,,,,,
2023-03-13,21.923,,,,,
2023-03-09,20.165,,,,,
2023-03-08,20.151,,,,,
2023-03-07,20.199,,,,,
2023-03-06,21.135,,,,,
2023-03-02,20.901,,,,,
2023-03-01,21.095,,,,,
2023-02-28,21.071,,,,,
2023-02-27,20.793,,,,,
2023-02-23,21.376,,,,,
2023-02-22,21.748,,,,,
2023-02-21,21.97,,,,,
2023-02-19,21.598,,,,,
2023-02-16,21.81,,,,,
2023-02-15,21.659,,,,,
2023-02-14,21.961,,,,,
