t,Date,TCI
527,527,57.954445816899245
528,528,57.71365543010025
529,529,57.585117332701316
530,530,56.52649139540492
531,531,55.7284575312887
532,532,55.68212147485075
533,533,55.835625938314415
534,534,56.21580664986902
535,535,56.08245687990623
536,536,54.14934571442056
537,537,53.5163764296829
538,538,55.131127202694074
539,539,58.08497107276437
540,540,54.444363957858464
541,541,55.158359273997824
542,542,56.3560440472112
543,543,55.43653385059262
544,544,53.86603926070662
545,545,52.678751208962936
546,546,52.194340262123674
547,547,49.59370055525684
548,548,48.921031967809355
549,549,49.78787266217274
550,550,51.01647630127386
551,551,50.18207630501629
552,552,51.59350425393219
553,553,51.8070681067584
554,554,56.59695390117737
555,555,52.384511634855635
556,556,49.857693469253455
557,557,47.871303625469444
558,558,49.619265014249045
559,559,49.246421236032475
560,560,50.35209456077122
561,561,48.29996589597884
562,562,51.705622013595985
563,563,47.5363478494988
564,564,52.088420157593504
565,565,57.46202321435712
566,566,60.36084119160545
567,567,54.712215617965235
568,568,58.67947135951096
569,569,56.76629392909722
570,570,54.55366360551399
571,571,54.64717487513256
572,572,54.497726664763846
573,573,51.35346258515434
574,574,51.38653575915975
575,575,50.02122639721803
576,576,50.91882763766169
577,577,52.36591094583394
578,578,53.15944536837789
579,579,59.78613961490083
580,580,54.28008404210185
581,581,51.01759779726478
582,582,51.28675339152304
583,583,51.20724717410721
584,584,49.44234726077116
585,585,53.983075069920396
586,586,53.79445047905753
587,587,52.11076473648587
588,588,50.385424612544824
589,589,48.18219112678764
590,590,48.80973024907892
591,591,51.728621209884594
592,592,48.617326613065806
593,593,54.45575282701075
594,594,49.07425696367465
595,595,47.50885372225724
596,596,53.14322138249658
597,597,52.80338191991063
598,598,51.53455116237209
599,599,54.560278209950816
600,600,49.75094584342294
601,601,64.74722363311344
602,602,54.98587417274886
603,603,62.85182414304401
604,604,55.042423472217095
