Date,DeltaS_SOLVPN_to_COPPER,DeltaS_COPPER_to_SOLVPN,PairDeltaTotal,Asymmetry_DeltaS,AbsAsymmetry_DeltaS,Share_SOLVPN_to_COPPER,Share_COPPER_to_SOLVPN,SC_Baseline,SC_InitialResponse,SC_Peak,SC_PeakHorizon,SC_HalfLife,SC_DurationAboveHalf,SC_AUC,SC_MaxHorizonUsed,CS_Baseline,CS_InitialResponse,CS_Peak,CS_PeakHorizon,CS_HalfLife,CS_DurationAboveHalf,CS_AUC,CS_MaxHorizonUsed,RelationshipType
2025-02-03,0.0820406548448459,0.0669514692251732,0.1489921240700191,0.015089185619672707,0.015089185619672707,0.5506375277010667,0.44936247229893334,0.13092932215616818,-0.08204065484484593,0.11566190840713406,17,2.0,13,1.1128673139271257,20,0.08310021375804903,0.06695146922517327,0.1543216975418547,10,2.0,11,0.9104152426173446,20,bilateral
2025-04-03,0.0739103853443987,0.0877573843780284,0.16166776972242708,-0.013846999033629695,0.013846999033629695,0.45717452199221875,0.5428254780077814,0.0852006594405958,0.07391038534439873,0.07391038534439873,0,4.0,5,0.6577010183923583,20,0.16239400932983614,-0.08775738437802844,0.2792675987981019,14,1.0,9,1.7624932268701115,20,bilateral
2025-04-07,0.0043677772432042,0.1019373019485546,0.1063050791917588,-0.09756952470535041,0.09756952470535041,0.04108719241274793,0.9589128075872521,0.15911104478499452,-0.004367777243204252,0.10332321639577241,20,,21,1.1920428762048747,20,0.0746366249518077,0.10193730194855463,0.3670249831761303,13,6.0,20,3.1008068252972096,20,COPPER_driven
2025-04-08,0.0103949410879976,0.0368444103163916,0.0472393514043892,-0.026449469228394,0.026449469228394,0.2200483448431039,0.7799516551568961,0.15474326754179027,-0.010394941087997683,0.10843666990125742,20,,21,1.2087562239988427,20,0.17657392690036233,-0.036844410316391685,0.2650876812275757,12,2.0,18,1.7038428362189313,20,COPPER_driven
2025-04-09,0.0064297880099469,0.0094341671535669,0.0158639551635138,-0.003004379143620001,0.003004379143620001,0.40530800444614523,0.5946919955538549,0.14434832645379259,-0.006429788009946924,0.09804172881325973,19,,21,1.0840486697324445,20,0.13972951658397065,0.009434167153566902,0.3019320915439674,11,6.0,18,1.8075052343213827,20,bilateral
2025-04-10,0.021544894359998,0.0225677457329035,0.0441126400929015,-0.0010228513729054999,0.0010228513729054999,0.48840636866495213,0.5115936313350478,0.13791853844384566,-0.02154489435999804,0.09161194080331281,18,3.0,20,1.0301925539700088,20,0.14916368373753755,0.02256774573290357,0.29249792439040045,10,18.0,19,1.7978095897371713,20,bilateral
2025-07-08,0.150716103484441,0.323924105692048,0.47464020917648897,-0.173208002207607,0.173208002207607,0.31753758019350425,0.6824624198064958,0.07585371385994577,0.15071610348444106,0.15071610348444106,0,1.0,2,0.7245663913901405,20,0.028924716370069044,0.32392410569204805,0.39011436136148414,5,14.0,14,5.158406351291932,20,bilateral
2025-07-09,0.1769198218561031,0.032403853936578,0.2093236757926811,0.14451596791952512,0.14451596791952512,0.8451973776312265,0.15480262236877357,0.22656981734438683,-0.1769198218561031,0.19427255534566873,17,13.0,20,3.3688178793733354,20,0.3528488220621171,0.03240385393657802,0.3506974963937194,13,6.0,19,3.0095134534228083,20,SOLVPN_driven
2025-07-31,0.1477457153085374,0.4084618510961066,0.556207566404644,-0.26071613578756925,0.26071613578756925,0.2656305383682098,0.7343694616317903,0.05017470860878252,0.14774571530853747,0.5047009253372285,20,1.0,11,3.490399198032539,20,0.4106131767645044,-0.40846185109610667,0.40846185109610667,0,,21,7.816384544353214,20,COPPER_driven
2025-08-04,0.1339699880577507,0.0287258142192427,0.1626958022769934,0.10524417383850801,0.10524417383850801,0.823438504145692,0.17656149585430808,0.19792042391732,-0.13396998805775073,0.41551832334565353,20,9.0,18,3.5758068709202013,20,0.0021513256683977065,0.028725814219242748,0.06797075338174562,5,,21,0.8009909748343751,20,SOLVPN_driven
2025-09-02,0.0161806307992091,0.0298485283886119,0.046029159187820995,-0.0136678975894028,0.0136678975894028,0.35153001020905866,0.6484699897909414,0.432189585317619,0.016180630799209172,0.4128449464468782,19,6.0,19,3.6450508808345856,20,0.030515481420634483,0.029848528388611933,0.029848528388611933,0,1.0,3,0.22645607348732683,20,bilateral
2025-11-13,0.0110938918140901,0.0022360692337438,0.013329961047833901,0.0088578225803463,0.0088578225803463,0.8322523805043558,0.1677476194956442,0.014231074360693154,-0.01109389181409018,0.1846860630747402,5,1.0,19,0.9306273238110674,20,0.07437068450204334,0.0022360692337438925,0.06792957912262218,17,,21,0.7095861115177587,20,SOLVPN_driven
2025-11-17,0.0116148899332281,0.0180465214504391,0.0296614113836672,-0.006431631517210998,0.006431631517210998,0.39158251045409587,0.608417489545904,0.0031371825466029735,0.011614889933228102,0.19577995488883038,4,19.0,20,1.1397452117591353,20,0.07660675373578724,-0.018046521450439126,0.07016564835636607,16,1.0,18,0.7955187282386346,20,bilateral
2025-11-18,0.0839808187693723,0.0260256003668662,0.1100064191362385,0.0579552184025061,0.0579552184025061,0.7634174389893144,0.23658256101068562,0.014752072479831076,0.08398081876937238,0.18416506495560228,3,1.0,9,0.9449014280370384,20,0.05856023228534811,0.02602560036686624,0.07817375671347417,1,2.0,17,0.6778656928089697,20,SOLVPN_driven
2025-11-24,0.1400434565776618,0.0180125882561068,0.1580560448337686,0.12203086832155499,0.12203086832155499,0.8860367012533366,0.11396329874666343,0.05887368085777152,0.14004345657766182,0.14004345657766182,0,1.0,2,0.638892473733933,20,0.061630521392271535,-0.018012588256106805,0.06122687276158994,17,2.0,19,0.7095058786996874,20,SOLVPN_driven
2025-12-29,0.0302127311243769,0.0103951114879248,0.0406078426123017,0.0198176196364521,0.0198176196364521,0.7440122198273169,0.2559877801726831,0.016875992947540056,0.030212731124376984,0.13158797468690397,3,1.0,3,0.21151481582044795,3,0.01079876011860646,-0.010395111487924866,0.07736925943578685,3,,4,0.12130302705440082,3,SOLVPN_driven
