Date,SOLVPN,log_price,log_price_hat,price_hat
2022-04-20,1080.65,6.985317990929928,6.9301621857995785,1022.6598270749721
2022-04-21,1061.29,6.967240428316903,6.929513906582514,1021.9970728110712
2022-04-22,1048.64,6.95524936551045,6.92886174927706,1021.3307872390017
2022-04-25,1045.48,6.952231389082654,6.928205739331764,1020.6610038014537
2022-04-26,1025.55,6.932984333027912,6.927545902424434,1019.9877561425266
2022-04-27,1017.89,6.925487136262282,6.926882264462412,1019.311078106204
2022-04-28,1040.98,6.947917856134541,6.926214851582871,1018.6310037348585
2022-04-29,1014.5,6.922151159265869,6.925543690153079,1017.9475672677147
2022-05-02,1003.52,6.911269098281934,6.924868806770663,1017.2608031393103
2022-05-03,1018.64,6.92622368326518,6.924190228263875,1016.5707459779603
2022-05-04,1031.81,6.93906982056432,6.923507981691833,1015.8774306041896
2022-05-05,1008.21,6.915931760266272,6.922822094344761,1015.1808920291674
2022-05-06,1001.86,6.909613551324101,6.922132593744232,1014.4811654531359
2022-05-09,952.78,6.859384027056717,6.921439507643378,1013.7782862638177
2022-05-10,938.86,6.844666373310848,6.920742864027116,1013.0722900348222
2022-05-11,942.8,6.848854171061976,6.920042691112345,1012.3632125240364
2022-05-12,940.82,6.846751835421805,6.919339017348155,1011.6510896720205
2022-05-13,972.63,6.880003742651294,6.918631871416004,1010.9359576003709
2022-05-16,962.4,6.869430164660469,6.917921282229909,1010.2178526101029
2022-05-17,975.07,6.882509263292514,6.917207278936611,1009.4968111800006
2022-05-18,959.06,6.8659536380983734,6.916489890915732,1008.7728699649698
2022-05-19,967.06,6.874260541098227,6.915769147779942,1008.046065794393
2022-05-20,980.18,6.887736228268099,6.91504507937509,1007.3164356704527
2022-05-23,994.61,6.902350700523277,6.914317715780342,1006.5840167664696
2022-05-24,999.87,6.907625270531405,6.913587087308305,1005.8488464252182
2022-05-25,1006.72,6.914452800429858,6.91285322450514,1005.1109621572446
2022-05-26,1005.58,6.913319768454549,6.912116158150672,1004.3704016391794
2022-05-27,1030.42,6.9377217650996075,6.911375919258483,1003.6272027120342
2022-05-30,1034.26,6.941441474136934,6.910632539075996,1002.8814033795
2022-05-31,1024.42,6.9318818777583715,6.909886049084548,1002.1330418062321
2022-06-01,1015.39,6.923028054129167,6.909136480999458,1001.3821563161367
