horizon,response,shock,fevd
12,dlog_DXY,dlog_SOLVPN,0.09784388088188838
12,dlog_DXY,dlog_COPPER,0.07030634510429273
12,dlog_DXY,dlog_DXY,0.8212946217834421
12,dlog_DXY,d_UST10Y,0.006938270109905237
12,dlog_DXY,dlog_VIX,0.0036168821204714662
12,d_UST10Y,dlog_SOLVPN,0.05287671576728272
12,d_UST10Y,dlog_COPPER,0.003068179594515546
12,d_UST10Y,dlog_DXY,0.0867547586391556
12,d_UST10Y,d_UST10Y,0.856810712730925
12,d_UST10Y,dlog_VIX,0.0004896332681210318
12,dlog_VIX,dlog_SOLVPN,0.28318822385737075
12,dlog_VIX,dlog_COPPER,0.015240152330127833
12,dlog_VIX,dlog_DXY,0.0029866838502600034
12,dlog_VIX,d_UST10Y,0.011607404210375217
12,dlog_VIX,dlog_VIX,0.6869775357518666
13,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748568
13,dlog_SOLVPN,dlog_COPPER,4.1304800004207034e-05
13,dlog_SOLVPN,dlog_DXY,0.0001781083137334259
13,dlog_SOLVPN,d_UST10Y,0.0027749573383973737
13,dlog_SOLVPN,dlog_VIX,0.0026726549730085114
13,dlog_COPPER,dlog_SOLVPN,0.05367585234765875
13,dlog_COPPER,dlog_COPPER,0.9376926548900603
13,dlog_COPPER,dlog_DXY,0.001371234678134283
13,dlog_COPPER,d_UST10Y,5.640748954542031e-05
13,dlog_COPPER,dlog_VIX,0.007203850594601418
13,dlog_DXY,dlog_SOLVPN,0.09784388088188838
13,dlog_DXY,dlog_COPPER,0.07030634510429273
13,dlog_DXY,dlog_DXY,0.8212946217834421
13,dlog_DXY,d_UST10Y,0.006938270109905237
13,dlog_DXY,dlog_VIX,0.0036168821204714662
13,d_UST10Y,dlog_SOLVPN,0.05287671576728272
13,d_UST10Y,dlog_COPPER,0.003068179594515546
13,d_UST10Y,dlog_DXY,0.0867547586391556
13,d_UST10Y,d_UST10Y,0.856810712730925
13,d_UST10Y,dlog_VIX,0.0004896332681210318
13,dlog_VIX,dlog_SOLVPN,0.28318822385737075
13,dlog_VIX,dlog_COPPER,0.015240152330127833
13,dlog_VIX,dlog_DXY,0.0029866838502600034
13,dlog_VIX,d_UST10Y,0.011607404210375217
13,dlog_VIX,dlog_VIX,0.6869775357518666
14,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748568
14,dlog_SOLVPN,dlog_COPPER,4.1304800004207034e-05
14,dlog_SOLVPN,dlog_DXY,0.0001781083137334259
14,dlog_SOLVPN,d_UST10Y,0.0027749573383973737
14,dlog_SOLVPN,dlog_VIX,0.0026726549730085114
14,dlog_COPPER,dlog_SOLVPN,0.05367585234765875
14,dlog_COPPER,dlog_COPPER,0.9376926548900603
14,dlog_COPPER,dlog_DXY,0.001371234678134283
14,dlog_COPPER,d_UST10Y,5.640748954542031e-05
14,dlog_COPPER,dlog_VIX,0.007203850594601418
14,dlog_DXY,dlog_SOLVPN,0.09784388088188838
14,dlog_DXY,dlog_COPPER,0.07030634510429273
14,dlog_DXY,dlog_DXY,0.8212946217834421
14,dlog_DXY,d_UST10Y,0.006938270109905237
14,dlog_DXY,dlog_VIX,0.0036168821204714662
14,d_UST10Y,dlog_SOLVPN,0.05287671576728272
14,d_UST10Y,dlog_COPPER,0.003068179594515546
14,d_UST10Y,dlog_DXY,0.0867547586391556
14,d_UST10Y,d_UST10Y,0.856810712730925
14,d_UST10Y,dlog_VIX,0.0004896332681210318
14,dlog_VIX,dlog_SOLVPN,0.28318822385737075
14,dlog_VIX,dlog_COPPER,0.015240152330127833
14,dlog_VIX,dlog_DXY,0.0029866838502600034
14,dlog_VIX,d_UST10Y,0.011607404210375217
14,dlog_VIX,dlog_VIX,0.6869775357518666
15,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748568
15,dlog_SOLVPN,dlog_COPPER,4.1304800004207034e-05
15,dlog_SOLVPN,dlog_DXY,0.0001781083137334259
15,dlog_SOLVPN,d_UST10Y,0.0027749573383973737
15,dlog_SOLVPN,dlog_VIX,0.0026726549730085114
15,dlog_COPPER,dlog_SOLVPN,0.05367585234765875
15,dlog_COPPER,dlog_COPPER,0.9376926548900603
15,dlog_COPPER,dlog_DXY,0.001371234678134283
15,dlog_COPPER,d_UST10Y,5.640748954542031e-05
15,dlog_COPPER,dlog_VIX,0.007203850594601418
15,dlog_DXY,dlog_SOLVPN,0.09784388088188838
15,dlog_DXY,dlog_COPPER,0.07030634510429273
15,dlog_DXY,dlog_DXY,0.8212946217834421
15,dlog_DXY,d_UST10Y,0.006938270109905237
15,dlog_DXY,dlog_VIX,0.0036168821204714662
15,d_UST10Y,dlog_SOLVPN,0.05287671576728272
15,d_UST10Y,dlog_COPPER,0.003068179594515546
15,d_UST10Y,dlog_DXY,0.0867547586391556
15,d_UST10Y,d_UST10Y,0.856810712730925
15,d_UST10Y,dlog_VIX,0.0004896332681210318
15,dlog_VIX,dlog_SOLVPN,0.28318822385737075
15,dlog_VIX,dlog_COPPER,0.015240152330127833
15,dlog_VIX,dlog_DXY,0.0029866838502600034
15,dlog_VIX,d_UST10Y,0.011607404210375217
15,dlog_VIX,dlog_VIX,0.6869775357518666
16,dlog_SOLVPN,dlog_SOLVPN,0.9943329745748568
16,dlog_SOLVPN,dlog_COPPER,4.1304800004207034e-05
16,dlog_SOLVPN,dlog_DXY,0.0001781083137334259
